Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,AgeGroup,TenureGroup,DistanceGroup,CareerStage,RoleStabilityGroup,PromotionDelayGroup,IncomeGroup,EducationLevel,StockOption,JobLevelGroup,SatisfactionLevel,PerformanceRatingLevel,EnvironmentSatisfactionLevel,JobInvolvementLevel,RelationshipSatisfactionLevel,WorkLifeBalanceLevel
28,Yes,Travel_Rarely,103,Research & Development,24,Life Sciences,1,19,Male,50,Laboratory Technician,Single,2028,12947,5,Y,Yes,14,80,6,4,4,2,0,3,1,26-35,4-5,21-30,Mid career,2-3,Promoted this year,Low,Medium,No Options,Entry Level,Medium-High,Medium-High,Medium-High,Medium-Low,Medium-Low,Medium-High
29,No,Travel_Rarely,1389,Research & Development,21,Life Sciences,1,20,Female,51,Manufacturing Director,Divorced,9980,10195,1,Y,No,11,80,10,1,10,9,8,8,0,26-35,6-10,21-30,Mid career,8+,5+ years,High,High,Low,Mid Level,Low,Medium-High,Medium-Low,High,Medium-High,Medium-High
32,No,Travel_Rarely,334,Research & Development,5,Life Sciences,1,21,Male,80,Research Scientist,Divorced,3298,15053,0,Y,Yes,12,80,7,5,6,2,0,5,0,26-35,6-10,0-5,Mid career,2-3,Promoted this year,Medium,Low,Medium,Entry Level,Medium-Low,Medium-High,Low,High,High,Medium-Low
22,No,Non-Travel,1123,Research & Development,16,Medical,1,22,Male,96,Laboratory Technician,Divorced,2935,7324,1,Y,Yes,13,80,1,2,1,0,0,0,0,18-25,0-1,11-20,Entry-level,0-1,Promoted this year,Low,Low,Medium,Entry Level,High,Medium-High,High,High,Medium-Low,Medium-Low
53,No,Travel_Rarely,1219,Sales,2,Life Sciences,1,23,Female,78,Manager,Married,15427,22021,2,Y,No,16,80,31,3,25,8,3,7,0,46-55,10+,0-5,Late career,8+,3-5 years,VeryHigh,High,No Options,Senior Level,High,Medium-High,Low,Medium-Low,Medium-High,Medium-High
38,No,Travel_Rarely,371,Research & Development,2,Life Sciences,1,24,Male,45,Research Scientist,Single,3944,4306,5,Y,Yes,11,80,6,3,3,2,1,2,0,36-45,2-3,0-5,Mid career,2-3,1-2 years,Medium,Medium,No Options,Entry Level,High,Medium-High,High,Medium-High,Medium-High,Medium-High
24,No,Non-Travel,673,Research & Development,11,Other,1,26,Female,96,Manufacturing Director,Divorced,4011,8232,0,Y,No,18,80,5,5,4,2,1,3,0,18-25,4-5,11-20,Early career,2-3,1-2 years,Medium,Low,Low,Junior Level,Medium-High,Medium-High,Low,High,High,Medium-Low
36,Yes,Travel_Rarely,1218,Sales,9,Life Sciences,1,27,Male,82,Sales Representative,Single,3407,6986,7,Y,No,23,80,10,4,5,3,0,3,1,36-45,4-5,6-10,Mid career,2-3,Promoted this year,Medium,High,No Options,Entry Level,Low,High,Medium-High,Medium-Low,Medium-Low,Medium-High
34,No,Travel_Rarely,419,Research & Development,7,Life Sciences,1,28,Female,53,Research Director,Single,11994,21293,0,Y,No,11,80,13,4,12,6,2,11,0,26-35,10+,6-10,Experienced,4-7,1-2 years,VeryHigh,High,No Options,Mid Level,Medium-Low,Medium-High,Low,Medium-High,Medium-High,Medium-High
21,No,Travel_Rarely,391,Research & Development,15,Life Sciences,1,30,Male,96,Research Scientist,Single,1232,19281,1,Y,No,14,80,0,6,0,0,0,0,0,18-25,0-1,11-20,Entry-level,0-1,Promoted this year,Low,Low,No Options,Entry Level,High,Medium-High,Medium-High,Medium-High,High,Medium-High
34,Yes,Travel_Rarely,699,Research & Development,6,Medical,1,31,Male,83,Research Scientist,Single,2960,17102,2,Y,No,11,80,8,2,4,2,1,3,1,26-35,4-5,6-10,Mid career,2-3,1-2 years,Low,Very Low,No Options,Entry Level,Low,Medium-High,Medium-Low,Medium-High,Medium-High,Medium-High
53,No,Travel_Rarely,1282,Research & Development,5,Other,1,32,Female,58,Manager,Divorced,19094,10735,4,Y,No,11,80,26,3,14,13,4,8,0,46-55,10+,0-5,Late career,8+,3-5 years,VeryHigh,Medium,Low,Executive Level,Medium-High,Medium-High,Medium-High,Medium-High,High,Medium-Low
32,Yes,Travel_Frequently,1125,Research & Development,16,Life Sciences,1,33,Female,72,Research Scientist,Single,3919,4681,1,Y,Yes,22,80,10,5,10,2,6,7,1,26-35,6-10,11-20,Mid career,2-3,5+ years,Medium,Very Low,No Options,Entry Level,Low,High,Medium-Low,Low,Medium-Low,Medium-High
42,No,Travel_Rarely,691,Sales,8,Marketing,1,35,Male,48,Sales Executive,Married,6825,21173,0,Y,No,11,80,10,2,9,7,4,2,0,36-45,6-10,6-10,Mid career,4-7,3-5 years,High,High,Low,Junior Level,Medium-Low,Medium-High,Medium-High,Medium-High,High,Medium-High
44,No,Travel_Rarely,477,Research & Development,7,Medical,1,36,Female,42,Healthcare Representative,Married,10248,2094,3,Y,No,14,80,24,4,22,6,5,17,0,36-45,10+,6-10,Late career,4-7,3-5 years,VeryHigh,High,Low,Mid Level,High,Medium-High,Low,Medium-Low,High,Medium-High
46,No,Travel_Rarely,705,Sales,2,Marketing,1,38,Female,83,Manager,Single,18947,22822,3,Y,No,12,80,22,2,2,2,2,1,0,46-55,2-3,0-5,Late career,2-3,1-2 years,VeryHigh,High,No Options,Executive Level,Low,Medium-High,Medium-Low,Medium-High,High,Medium-Low
33,No,Travel_Rarely,924,Research & Development,2,Medical,1,39,Male,78,Laboratory Technician,Single,2496,6670,4,Y,No,11,80,7,3,1,1,0,0,0,26-35,0-1,0-5,Mid career,0-1,Promoted this year,Low,Medium,No Options,Entry Level,High,Medium-High,Medium-High,Medium-High,High,Medium-High
44,No,Travel_Rarely,1459,Research & Development,10,Other,1,40,Male,41,Healthcare Representative,Married,6465,19121,2,Y,Yes,13,80,9,5,4,2,1,3,0,36-45,4-5,6-10,Mid career,2-3,1-2 years,High,High,No Options,Junior Level,High,Medium-High,High,Medium-High,High,High
30,No,Travel_Rarely,125,Research & Development,9,Medical,1,41,Male,83,Laboratory Technician,Single,2206,16117,1,Y,No,13,80,10,5,10,0,1,8,0,26-35,6-10,6-10,Mid career,0-1,1-2 years,Low,Low,No Options,Entry Level,Medium-High,Medium-High,High,Medium-Low,Low,Medium-High
39,Yes,Travel_Rarely,895,Sales,5,Technical Degree,1,42,Male,56,Sales Representative,Married,2086,3335,3,Y,No,14,80,19,6,1,0,0,0,1,36-45,0-1,0-5,Experienced,0-1,Promoted this year,Low,Medium,Low,Junior Level,High,Medium-High,High,Medium-High,Medium-High,High
24,Yes,Travel_Rarely,813,Research & Development,1,Medical,1,45,Male,61,Research Scientist,Married,2293,3020,2,Y,Yes,16,80,6,2,2,0,2,0,1,18-25,2-3,0-5,Mid career,0-1,1-2 years,Low,Medium,Low,Entry Level,High,Medium-High,Medium-Low,Medium-High,Low,Medium-Low
43,No,Travel_Rarely,1273,Research & Development,2,Medical,1,46,Female,72,Research Scientist,Divorced,2645,21923,1,Y,No,12,80,6,3,5,3,1,4,0,36-45,4-5,0-5,Mid career,2-3,1-2 years,Low,Low,Medium,Entry Level,Medium-High,Medium-High,High,High,High,Medium-Low
50,Yes,Travel_Rarely,869,Sales,3,Marketing,1,47,Male,86,Sales Representative,Married,2683,3810,1,Y,Yes,14,80,3,2,3,2,0,2,1,46-55,2-3,0-5,Early career,2-3,Promoted this year,Low,Low,No Options,Entry Level,Medium-High,Medium-High,Low,Medium-Low,Medium-High,Medium-High
35,No,Travel_Rarely,890,Sales,2,Marketing,1,49,Female,97,Sales Representative,Married,2014,9687,1,Y,No,13,80,2,3,2,2,2,2,0,26-35,2-3,0-5,Entry-level,2-3,1-2 years,Low,Medium,No Options,Entry Level,High,Medium-High,High,Medium-High,Low,Medium-High
36,No,Travel_Rarely,852,Research & Development,5,Life Sciences,1,51,Female,82,Research Scientist,Married,3419,13072,9,Y,Yes,14,80,6,3,1,1,0,0,0,36-45,0-1,0-5,Mid career,0-1,Promoted this year,Medium,High,Low,Entry Level,Low,Medium-High,Medium-Low,Medium-Low,High,High
33,No,Travel_Frequently,1141,Sales,1,Life Sciences,1,52,Female,42,Sales Executive,Married,5376,3193,2,Y,No,19,80,10,3,5,3,1,3,0,26-35,4-5,0-5,Mid career,2-3,1-2 years,Medium,Medium,Medium,Junior Level,Low,Medium-High,Medium-High,High,Low,Medium-High
35,No,Travel_Rarely,464,Research & Development,4,Other,1,53,Male,75,Laboratory Technician,Divorced,1951,10910,1,Y,No,12,80,1,3,1,0,0,0,0,26-35,0-1,0-5,Entry-level,0-1,Promoted this year,Low,Low,Low,Entry Level,High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High
27,No,Travel_Rarely,1240,Research & Development,2,Life Sciences,1,54,Female,33,Laboratory Technician,Divorced,2341,19715,1,Y,No,13,80,1,6,1,0,0,0,0,26-35,0-1,0-5,Entry-level,0-1,Promoted this year,Low,High,Low,Entry Level,Low,Medium-High,High,Medium-High,High,Medium-High
26,Yes,Travel_Rarely,1357,Research & Development,25,Life Sciences,1,55,Male,48,Laboratory Technician,Single,2293,10558,1,Y,No,12,80,1,2,1,0,0,1,1,26-35,0-1,21-30,Entry-level,0-1,Promoted this year,Low,Medium,No Options,Entry Level,Medium-High,Medium-High,Low,Low,Medium-High,Medium-Low
27,No,Travel_Frequently,994,Sales,8,Life Sciences,1,56,Male,37,Sales Executive,Single,8726,2975,1,Y,No,15,80,9,0,9,8,1,7,0,26-35,6-10,6-10,Mid career,8+,1-2 years,High,Medium,No Options,Mid Level,Medium-High,Medium-High,High,Medium-High,High,Medium-High
30,No,Travel_Frequently,721,Research & Development,1,Medical,1,57,Female,58,Laboratory Technician,Single,4011,10781,1,Y,No,23,80,12,2,12,8,3,7,0,26-35,10+,0-5,Experienced,8+,3-5 years,Medium,Low,No Options,Junior Level,High,High,Medium-High,Medium-High,High,Medium-High
41,Yes,Travel_Rarely,1360,Research & Development,12,Technical Degree,1,58,Female,49,Research Director,Married,19545,16280,1,Y,No,12,80,23,0,22,15,15,8,1,36-45,10+,11-20,Late career,8+,5+ years,VeryHigh,Medium,No Options,Executive Level,Medium-High,Medium-High,Medium-Low,Medium-High,High,Medium-High
34,No,Non-Travel,1065,Sales,23,Marketing,1,60,Male,72,Sales Executive,Single,4568,10034,0,Y,No,20,80,10,2,9,5,8,7,0,26-35,6-10,21-30,Mid career,4-7,5+ years,Medium,High,No Options,Junior Level,Medium-High,High,Medium-Low,Medium-High,Medium-High,Medium-High
37,No,Travel_Rarely,408,Research & Development,19,Life Sciences,1,61,Male,73,Research Scientist,Married,3022,10227,4,Y,No,21,80,8,1,1,0,0,0,0,36-45,0-1,11-20,Mid career,0-1,Promoted this year,Medium,Low,No Options,Entry Level,Medium-Low,High,Medium-Low,Medium-High,Low,Medium-High
46,No,Travel_Frequently,1211,Sales,5,Marketing,1,62,Male,98,Sales Executive,Single,5772,20445,4,Y,Yes,21,80,14,4,9,6,0,8,0,46-55,6-10,0-5,Experienced,4-7,Promoted this year,Medium,High,No Options,Junior Level,High,High,Low,Medium-High,Medium-High,Medium-High
35,No,Travel_Rarely,1229,Research & Development,8,Life Sciences,1,63,Male,36,Laboratory Technician,Married,2269,4892,1,Y,No,19,80,1,2,1,0,0,1,0,26-35,0-1,6-10,Entry-level,0-1,Promoted this year,Low,Very Low,No Options,Entry Level,High,Medium-High,High,High,High,Medium-High
48,Yes,Travel_Rarely,626,Research & Development,1,Life Sciences,1,64,Male,98,Laboratory Technician,Single,5381,19294,9,Y,Yes,13,80,23,2,1,0,0,0,1,46-55,0-1,0-5,Late career,0-1,Promoted this year,Medium,Low,No Options,Mid Level,Medium-High,Medium-High,Low,Medium-Low,High,Medium-High
28,Yes,Travel_Rarely,1434,Research & Development,5,Technical Degree,1,65,Male,50,Laboratory Technician,Single,3441,11179,1,Y,Yes,13,80,2,3,2,2,2,2,1,26-35,2-3,0-5,Entry-level,2-3,1-2 years,Medium,High,No Options,Entry Level,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-Low
44,No,Travel_Rarely,1488,Sales,1,Marketing,1,68,Female,75,Sales Executive,Divorced,5454,4009,5,Y,Yes,21,80,9,2,4,3,1,3,0,36-45,4-5,0-5,Mid career,2-3,1-2 years,Medium,Very High,Low,Junior Level,Low,High,Medium-Low,Medium-High,Medium-High,Medium-Low
35,No,Non-Travel,1097,Research & Development,11,Medical,1,70,Male,79,Healthcare Representative,Married,9884,8302,2,Y,Yes,13,80,10,3,4,0,2,3,0,26-35,4-5,11-20,Mid career,0-1,1-2 years,High,Low,Low,Mid Level,Low,Medium-High,Medium-High,Medium-Low,Medium-High,Medium-High
26,No,Travel_Rarely,1443,Sales,23,Marketing,1,72,Female,47,Sales Executive,Married,4157,21436,7,Y,Yes,19,80,5,2,2,2,0,0,0,26-35,2-3,21-30,Early career,2-3,Promoted this year,Medium,Medium,Low,Junior Level,High,Medium-High,Medium-High,Medium-Low,Medium-High,Medium-Low
33,No,Travel_Frequently,515,Research & Development,1,Life Sciences,1,73,Female,98,Research Director,Single,13458,15146,1,Y,Yes,12,80,15,1,15,14,8,12,0,26-35,10+,0-5,Experienced,8+,5+ years,VeryHigh,Low,No Options,Mid Level,High,Medium-High,Low,Medium-High,Medium-High,Medium-High
35,No,Travel_Frequently,853,Sales,18,Life Sciences,1,74,Male,71,Sales Executive,Married,9069,11031,1,Y,No,22,80,9,3,9,8,1,8,0,26-35,6-10,11-20,Mid career,8+,1-2 years,High,Very High,Low,Mid Level,Low,High,Medium-Low,Medium-High,High,Medium-Low
35,No,Travel_Rarely,1142,Research & Development,23,Medical,1,75,Female,30,Laboratory Technician,Married,4014,16002,3,Y,Yes,15,80,4,3,2,2,2,2,0,26-35,2-3,21-30,Early career,2-3,1-2 years,Medium,High,Low,Entry Level,Low,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High
31,No,Travel_Rarely,655,Research & Development,7,Life Sciences,1,76,Male,48,Laboratory Technician,Divorced,5915,9528,3,Y,No,22,80,10,3,7,7,1,7,0,26-35,6-10,6-10,Mid career,4-7,1-2 years,Medium,High,Low,Junior Level,High,High,High,Medium-High,High,Medium-Low
37,No,Travel_Rarely,1115,Research & Development,1,Life Sciences,1,77,Male,51,Manufacturing Director,Divorced,5993,2689,1,Y,No,18,80,7,2,7,5,0,7,0,36-45,6-10,0-5,Mid career,4-7,Promoted this year,Medium,High,Low,Junior Level,Medium-High,Medium-High,Low,Medium-Low,Medium-High,High
32,No,Travel_Rarely,427,Research & Development,1,Medical,1,78,Male,33,Manufacturing Director,Married,6162,10877,1,Y,Yes,22,80,9,3,9,8,7,8,0,26-35,6-10,0-5,Mid career,8+,5+ years,High,Medium,Low,Junior Level,High,High,Low,Medium-High,Medium-Low,Medium-High
38,No,Travel_Frequently,653,Research & Development,29,Life Sciences,1,79,Female,50,Laboratory Technician,Single,2406,5456,1,Y,No,11,80,10,2,10,3,9,9,0,36-45,6-10,21-30,Mid career,2-3,5+ years,Low,Very High,No Options,Junior Level,High,Medium-High,High,Medium-High,High,Medium-High
50,No,Travel_Rarely,989,Research & Development,7,Medical,1,80,Female,43,Research Director,Divorced,18740,16701,5,Y,Yes,12,80,29,2,27,3,13,8,0,46-55,10+,6-10,Late career,2-3,5+ years,VeryHigh,Low,Low,Executive Level,Medium-High,Medium-High,Medium-Low,Medium-Low,High,Medium-Low
59,No,Travel_Rarely,1435,Sales,25,Life Sciences,1,81,Female,99,Sales Executive,Single,7637,2354,7,Y,No,11,80,28,3,21,16,7,9,0,56-65,10+,21-30,Late career,8+,5+ years,High,Medium,No Options,Mid Level,Low,Medium-High,Low,Medium-High,High,Medium-Low
36,No,Travel_Rarely,1223,Research & Development,8,Technical Degree,1,83,Female,59,Healthcare Representative,Divorced,10096,8202,1,Y,No,13,80,17,2,17,14,12,8,0,36-45,10+,6-10,Experienced,8+,5+ years,VeryHigh,Medium,High,Mid Level,Medium-High,Medium-High,Medium-High,Medium-High,Medium-Low,Medium-High
55,No,Travel_Rarely,836,Research & Development,8,Medical,1,84,Female,33,Manager,Divorced,14756,19730,2,Y,Yes,14,80,21,2,5,0,0,2,0,46-55,4-5,6-10,Late career,0-1,Promoted this year,VeryHigh,Medium,High,Senior Level,Medium-High,Medium-High,High,Medium-High,Medium-High,Medium-High
36,No,Travel_Frequently,1195,Research & Development,11,Life Sciences,1,85,Male,95,Manufacturing Director,Single,6499,22656,1,Y,No,13,80,6,3,6,5,0,3,0,36-45,6-10,11-20,Mid career,4-7,Promoted this year,High,Medium,No Options,Junior Level,Medium-Low,Medium-High,Medium-Low,Medium-Low,Medium-High,Medium-High
45,No,Travel_Rarely,1339,Research & Development,7,Life Sciences,1,86,Male,59,Research Scientist,Divorced,9724,18787,2,Y,No,17,80,25,2,1,0,0,0,0,36-45,0-1,6-10,Late career,0-1,Promoted this year,High,Medium,Low,Mid Level,Low,Medium-High,Medium-Low,Medium-High,Medium-High,Medium-High
35,No,Travel_Frequently,664,Research & Development,1,Medical,1,88,Male,79,Research Scientist,Married,2194,5868,4,Y,No,13,80,5,2,3,2,1,2,0,26-35,2-3,0-5,Early career,2-3,1-2 years,Low,Medium,Low,Entry Level,Low,Medium-High,Medium-Low,Medium-High,High,Medium-Low
36,Yes,Travel_Rarely,318,Research & Development,9,Medical,1,90,Male,79,Research Scientist,Married,3388,21777,0,Y,Yes,17,80,2,0,1,0,0,0,1,36-45,0-1,6-10,Entry-level,0-1,Promoted this year,Medium,Medium,Low,Entry Level,Medium-High,Medium-High,High,Medium-Low,Low,Medium-Low
59,No,Travel_Frequently,1225,Sales,1,Life Sciences,1,91,Female,57,Sales Executive,Single,5473,24668,7,Y,No,11,80,20,2,4,3,1,3,0,56-65,4-5,0-5,Experienced,2-3,1-2 years,Medium,Very Low,No Options,Junior Level,Medium-High,Medium-High,Low,Medium-Low,High,Medium-Low
29,No,Travel_Rarely,1328,Research & Development,2,Life Sciences,1,94,Male,76,Research Scientist,Married,2703,4956,0,Y,No,23,80,6,3,5,4,0,4,0,26-35,4-5,0-5,Mid career,4-7,Promoted this year,Low,Medium,Low,Entry Level,Medium-Low,High,Medium-High,Medium-High,High,Medium-High
31,No,Travel_Rarely,1082,Research & Development,1,Medical,1,95,Male,87,Research Scientist,Single,2501,18775,1,Y,No,17,80,1,4,1,1,1,0,0,26-35,0-1,0-5,Entry-level,0-1,1-2 years,Low,High,No Options,Entry Level,Medium-Low,Medium-High,Medium-High,Medium-High,Medium-Low,Medium-High
32,No,Travel_Rarely,548,Research & Development,1,Life Sciences,1,96,Male,66,Research Scientist,Married,6220,7346,1,Y,No,17,80,10,3,10,4,0,9,0,26-35,6-10,0-5,Mid career,4-7,Promoted this year,High,Medium,Medium,Junior Level,Medium-Low,Medium-High,Medium-Low,Medium-High,Medium-Low,Medium-High
36,No,Travel_Rarely,132,Research & Development,6,Life Sciences,1,97,Female,55,Laboratory Technician,Married,3038,22002,3,Y,No,12,80,5,3,1,0,0,0,0,36-45,0-1,6-10,Early career,0-1,Promoted this year,Medium,Medium,No Options,Entry Level,High,Medium-High,Medium-Low,High,Medium-Low,Medium-High
31,No,Travel_Rarely,746,Research & Development,8,Life Sciences,1,98,Female,61,Manufacturing Director,Single,4424,20682,1,Y,No,23,80,11,2,11,7,1,8,0,26-35,10+,6-10,Experienced,4-7,1-2 years,Medium,High,No Options,Junior Level,High,High,Medium-High,Medium-High,High,Medium-High
35,No,Travel_Rarely,776,Sales,1,Marketing,1,100,Male,32,Sales Executive,Single,4312,23016,0,Y,No,14,80,16,2,15,13,2,8,0,26-35,10+,0-5,Experienced,8+,1-2 years,Medium,High,No Options,Junior Level,Low,Medium-High,Medium-High,Medium-Low,Medium-Low,Medium-High
45,No,Travel_Rarely,193,Research & Development,6,Other,1,101,Male,52,Research Director,Married,13245,15067,4,Y,Yes,14,80,17,3,0,0,0,0,0,36-45,0-1,6-10,Experienced,0-1,Promoted this year,VeryHigh,High,No Options,Mid Level,Low,Medium-High,High,Medium-High,Medium-Low,High
37,No,Travel_Rarely,397,Research & Development,7,Medical,1,102,Male,30,Research Director,Single,13664,25258,4,Y,No,13,80,16,3,5,2,0,2,0,36-45,4-5,6-10,Experienced,2-3,Promoted this year,VeryHigh,High,No Options,Mid Level,Medium-High,Medium-High,Low,Medium-High,Low,High
46,No,Travel_Rarely,945,Human Resources,5,Medical,1,103,Male,80,Human Resources,Divorced,5021,10425,8,Y,Yes,22,80,16,2,4,2,0,2,0,46-55,4-5,0-5,Experienced,2-3,Promoted this year,Medium,Low,Low,Junior Level,Medium-Low,High,Medium-Low,Medium-High,High,Medium-High
30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,1,104,Male,55,Laboratory Technician,Married,5126,15998,1,Y,Yes,12,80,10,1,10,8,3,0,0,26-35,6-10,0-5,Mid career,8+,3-5 years,Medium,Very Low,Medium,Junior Level,High,Medium-High,High,Medium-Low,Medium-High,Medium-Low
35,No,Travel_Rarely,1214,Research & Development,1,Medical,1,105,Male,30,Research Scientist,Single,2859,26278,1,Y,No,18,80,6,3,6,4,0,4,0,26-35,6-10,0-5,Mid career,4-7,Promoted this year,Low,Medium,No Options,Entry Level,Medium-High,Medium-High,Medium-Low,Medium-Low,Low,Medium-High
55,No,Travel_Rarely,111,Sales,1,Life Sciences,1,106,Male,70,Sales Executive,Married,10239,18092,3,Y,No,14,80,24,4,1,0,1,0,0,46-55,0-1,0-5,Late career,0-1,1-2 years,VeryHigh,Low,Low,Mid Level,High,Medium-High,Low,Medium-High,High,Medium-High
38,No,Non-Travel,573,Research & Development,6,Medical,1,107,Female,79,Research Scientist,Divorced,5329,15717,7,Y,Yes,12,80,17,3,13,11,1,9,0,36-45,10+,6-10,Experienced,8+,1-2 years,Medium,Medium,High,Junior Level,High,Medium-High,Medium-Low,Low,High,Medium-High
34,No,Travel_Rarely,1153,Research & Development,1,Medical,1,110,Male,94,Manufacturing Director,Married,4325,17736,1,Y,No,15,80,5,2,5,2,1,3,0,26-35,4-5,0-5,Early career,2-3,1-2 years,Medium,Low,No Options,Junior Level,Medium-Low,Medium-High,Low,Medium-High,Medium-High,Medium-High
56,No,Travel_Rarely,1400,Research & Development,7,Life Sciences,1,112,Male,49,Manufacturing Director,Single,7260,21698,4,Y,No,11,80,37,3,6,4,0,2,0,56-65,6-10,6-10,Late career,4-7,Promoted this year,High,Medium,No Options,Mid Level,High,Medium-High,High,Low,Low,Medium-Low
